Namespace(batch_size=16, beta1=0.5, cuda=False, dataroot='./cifar10', dataset='cifar10', image_size=64, learning_rate=0.0002, local_rank=0, max_workers=4, ndf=64, ngf=64, num_epochs=1, nz=100, out_folder='.', seed=0)
Namespace(batch_size=16, beta1=0.5, cuda=False, dataroot='./cifar10', dataset='cifar10', image_size=64, learning_rate=0.0002, local_rank=1, max_workers=4, ndf=64, ngf=64, num_epochs=1, nz=100, out_folder='.', seed=0)
Using seed: 0
Using seed: 0
Using GPU: False
Using GPU: False
Rank: 0. World Size: 4
Rank: 1. World Size: 4
Dataset cifar10 loaded
/usr/local/lib/python3.6/dist-packages/torch/utils/data/dataloader.py:490: UserWarning: This DataLoader will create 4 worker processes in total. Our suggested max number of worker in current system is 2, which is smaller than what this DataLoader is going to create. Please be aware that excessive worker creation might get DataLoader running slow or even freeze, lower the worker number to avoid potential slowness/freeze if necessary.
  cpuset_checked))
Dataset cifar10 loaded
/usr/local/lib/python3.6/dist-packages/torch/utils/data/dataloader.py:490: UserWarning: This DataLoader will create 4 worker processes in total. Our suggested max number of worker in current system is 2, which is smaller than what this DataLoader is going to create. Please be aware that excessive worker creation might get DataLoader running slow or even freeze, lower the worker number to avoid potential slowness/freeze if necessary.
  cpuset_checked))
Rank: 1, Epoch: 0, Training ...
Rank: 0, Epoch: 0, Training ...
[epoch: 0/1][iteration: 18/782][rank: 1] Loss_D: 0.1271, Loss_G: 13.5239, D(x): 0.8867, D(G(z)): 0.0000 / 0.0000, iteration time: 1.4351s
[epoch: 0/1][iteration: 19/782][rank: 0] Loss_D: 0.1079, Loss_G: 10.7471, D(x): 0.9173, D(G(z)): 0.0000 / 0.0000, iteration time: 1.4071s
[epoch: 0/1][iteration: 19/782][rank: 1] Loss_D: 0.0560, Loss_G: 10.7471, D(x): 0.9468, D(G(z)): 0.0000 / 0.0000, iteration time: 1.4156s
[epoch: 0/1][iteration: 20/782][rank: 0] Loss_D: 0.0712, Loss_G: 4.9270, D(x): 0.9587, D(G(z)): 0.0270 / 0.0095, iteration time: 1.4226s
[epoch: 0/1][iteration: 20/782][rank: 1] Loss_D: 0.0475, Loss_G: 4.9270, D(x): 0.9807, D(G(z)): 0.0270 / 0.0095, iteration time: 1.4261s
[epoch: 0/1][iteration: 21/782][rank: 0] Loss_D: 3.6117, Loss_G: 13.1485, D(x): 0.9540, D(G(z)): 0.9695 / 0.0000, iteration time: 1.4352s
[epoch: 0/1][iteration: 21/782][rank: 1] Loss_D: 3.5658, Loss_G: 13.1485, D(x): 0.9885, D(G(z)): 0.9695 / 0.0000, iteration time: 1.4390s
[epoch: 0/1][iteration: 22/782][rank: 0] Loss_D: 0.1031, Loss_G: 14.1534, D(x): 0.9101, D(G(z)): 0.0000 / 0.0000, iteration time: 1.4259s
[epoch: 0/1][iteration: 22/782][rank: 1] Loss_D: 0.1457, Loss_G: 14.1534, D(x): 0.8788, D(G(z)): 0.0000 / 0.0000, iteration time: 1.4087s
[epoch: 0/1][iteration: 23/782][rank: 0] Loss_D: 0.1418, Loss_G: 13.2611, D(x): 0.8735, D(G(z)): 0.0000 / 0.0000, iteration time: 1.4192s
[epoch: 0/1][iteration: 23/782][rank: 1] Loss_D: 0.1427, Loss_G: 13.2611, D(x): 0.8892, D(G(z)): 0.0000 / 0.0000, iteration time: 1.4181s
[epoch: 0/1][iteration: 24/782][rank: 0] Loss_D: 0.1739, Loss_G: 10.7368, D(x): 0.8745, D(G(z)): 0.0000 / 0.0000, iteration time: 1.4438s
[epoch: 0/1][iteration: 24/782][rank: 1] Loss_D: 0.1705, Loss_G: 10.7368, D(x): 0.8509, D(G(z)): 0.0000 / 0.0000, iteration time: 1.4542s
